ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot,source_schedule,System Name,System Type,Service Type,Classification,Size,Diameter,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in)
1408668,Doors,Door-Passage-Single-Vision_Lite,"36"" x 80""",L -1,213,C1020,Interior Doors,,"3' - 0""","0' - 1 3/4""","6' - 8""",52 SF,4.54 CF,,,Glass; Aluminum; Wood - Birch; Metal - Paint Finish - Grey,,,,,,Point,90.798,169.666,-15,,,,,,,180,89.069,166.416,-15,92.465,170.041,-8,90.767,168.229,-11.5,,"Area=52 SF | Assembly Code=C1020 | Assembly Description=Interior Doors | Door Handle Material=Aluminum | Export Type to IFC=0 | Family and Type=36"" x 80"" | Frame Material=Metal - Paint Finish - Grey | Glass Stop Material=Metal - Paint Finish - Grey | Head Height=6' - 8"" | Height=6' - 8"" | Level=L -1 | Mark=213 | Masonry Frame Depth=0' - 5 3/4"" | MFOpeningHeight=0' - 4"" | MFOpeningWidth=0' - 4"" | Panel Material=Wood - Birch | Rough Height=7' - 0"" | Rough Width=3' - 4"" | Sill Height=0' - 0"" | Strike Height=3' - 4"" | Thickness=0' - 1 3/4"" | Type=36"" x 80"" | Type Id=36"" x 80"" | Type IfcGUID=25VjgOKgz12enyjs5jfF5b | Type Mark=21 | Type Name=36"" x 80"" | Volume=4.54 CF | Width=3' - 0""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Feb\04_Island_ARCH_Concept2_V7_2026-02-25_09-26-38am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1408820,Doors,Door-Passage-Single-Vision_Lite,"36"" x 80""",L -1,216,C1020,Interior Doors,,"3' - 0""","0' - 1 3/4""","6' - 8""",52 SF,4.54 CF,,,Glass; Aluminum; Wood - Birch; Metal - Paint Finish - Grey,,,,,,Point,122.382,169.666,-15,,,,,,,360,120.715,166.416,-15,124.111,170.041,-8,122.413,168.229,-11.5,,"Area=52 SF | Assembly Code=C1020 | Assembly Description=Interior Doors | Door Handle Material=Aluminum | Export Type to IFC=0 | Family and Type=36"" x 80"" | Frame Material=Metal - Paint Finish - Grey | Glass Stop Material=Metal - Paint Finish - Grey | Head Height=6' - 8"" | Height=6' - 8"" | Level=L -1 | Mark=216 | Masonry Frame Depth=0' - 5 3/4"" | MFOpeningHeight=0' - 4"" | MFOpeningWidth=0' - 4"" | Panel Material=Wood - Birch | Rough Height=7' - 0"" | Rough Width=3' - 4"" | Sill Height=0' - 0"" | Strike Height=3' - 4"" | Thickness=0' - 1 3/4"" | Type=36"" x 80"" | Type Id=36"" x 80"" | Type IfcGUID=25VjgOKgz12enyjs5jfF5b | Type Mark=21 | Type Name=36"" x 80"" | Volume=4.54 CF | Width=3' - 0""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Feb\04_Island_ARCH_Concept2_V7_2026-02-25_09-26-38am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1410089,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 7 1/4""","0' - 1""","7' - 8 1/4""",35 SF,2.95 CF,,,Glass,,,,,,BoundingBox,-1.556,152.843,19.052,,,,,,,,-1.598,150.541,15.208,-1.514,155.145,22.896,-1.556,152.843,19.052,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.95 CF | Width=4' - 7 1/4""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Feb\04_Island_ARCH_Concept2_V7_2026-02-25_09-26-38am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1410091,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 7 1/4""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,Point,-1.452,189.458,30,,,,,,,240,-1.66,184.854,29.792,-1.243,189.458,30,-1.452,187.156,29.896,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 7 1/4"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Feb\04_Island_ARCH_Concept2_V7_2026-02-25_09-26-38am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1410092,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 7 1/4""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,Point,-1.452,150.541,15,,,,,,,240,-1.66,150.541,15,-1.243,155.145,15.208,-1.452,152.843,15.104,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 7 1/4"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Feb\04_Island_ARCH_Concept2_V7_2026-02-25_09-26-38am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1410093,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"8' - 0""",,"0' - 5""","0' - 5""",5 SF,0.69 CF,,,Aluminum,,,,,,Point,-1.452,189.666,15,,,,,,,180,-1.66,189.458,15,-1.243,189.666,23,-1.452,189.562,19,,"Area=5 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=8' - 0"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.69 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Feb\04_Island_ARCH_Concept2_V7_2026-02-25_09-26-38am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1410094,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"7' - 0""",,"0' - 5""","0' - 5""",4 SF,0.61 CF,,,Aluminum,,,,,,Point,-1.452,150.333,30,,,,,,,270,-1.66,150.333,23,-1.243,150.541,30,-1.452,150.437,26.5,,"Area=4 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=7' - 0"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.61 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Feb\04_Island_ARCH_Concept2_V7_2026-02-25_09-26-38am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1410096,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 8 1/2""","0' - 1""","7' - 8 1/4""",36 SF,3.02 CF,,,Glass,,,,,,BoundingBox,-1.556,157.708,19.052,,,,,,,,-1.598,155.354,15.208,-1.514,160.062,22.896,-1.556,157.708,19.052,,"Area=36 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=3.02 CF | Width=4' - 8 1/2""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Feb\04_Island_ARCH_Concept2_V7_2026-02-25_09-26-38am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1410098,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 8 1/2""","0' - 1""","7' - 8 1/4""",36 SF,3.02 CF,,,Glass,,,,,,BoundingBox,-1.556,162.624,19.052,,,,,,,,-1.598,160.27,15.208,-1.514,164.979,22.896,-1.556,162.624,19.052,,"Area=36 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=3.02 CF | Width=4' - 8 1/2""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Feb\04_Island_ARCH_Concept2_V7_2026-02-25_09-26-38am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1410100,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 8 1/2""","0' - 1""","7' - 8 1/4""",36 SF,3.02 CF,,,Glass,,,,,,BoundingBox,-1.556,167.541,19.052,,,,,,,,-1.598,165.187,15.208,-1.514,169.895,22.896,-1.556,167.541,19.052,,"Area=36 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=3.02 CF | Width=4' - 8 1/2""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Feb\04_Island_ARCH_Concept2_V7_2026-02-25_09-26-38am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
