ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1287497,Duct Fittings,Rectangular Transition - Angle,45 Degree,L 1,,Mechanical Supply Air 5,Supply Air,,,"9""x16""-9""x10""",,,,"9""x16""-9""x10""",1 SF,0.49 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,12.949,,,9,16,Point,80.475,242.303,22.342,,,,,,,90,80.1,242.303,21.675,80.85,242.907,23.008,80.475,242.605,22.342,,"Area=1 SF | Computed Length=7"" | Duct Height 1=16"" | Duct Height 2=10"" | Duct Length=7"" | Duct Width 1=9"" | Duct Width 2=9"" | Free Size=9""x16""-9""x10"" | Half Height 1=8"" | Half Height 2=5"" | Half Width 1=5"" | Half Width 2=5"" | HeightDelta=6"" | HeightOffset=120"" | Insulation Thickness=0"" | Length 1=7"" | Length 2=2"" | Lining Thickness=0"" | OffsetHeight=8"" | OffsetWidth=4 1/2"" | Overall Size=9""x16""-9""x10"" | Pressure Drop=0.00 in-wg | Size=9""x16""-9""x10"" | Volume=0.49 CF | WidthDelta=0"" | WidthOffset=120"""
1287498,Duct Fittings,Rectangular Transition - Angle,45 Degree,L 1,,Mechanical Supply Air 5,Supply Air,,,"13""x13""-9""x10""",,,,"13""x13""-9""x10""",1 SF,0.36 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,12.949,,,13,13,Point,98.59,241.553,22.342,,,,,,,0,98.59,241.012,21.8,98.992,242.095,22.883,98.791,241.553,22.342,,"Area=1 SF | Computed Length=5"" | Duct Height 1=13"" | Duct Height 2=10"" | Duct Length=5"" | Duct Width 1=13"" | Duct Width 2=9"" | Free Size=13""x13""-9""x10"" | Half Height 1=7"" | Half Height 2=5"" | Half Width 1=7"" | Half Width 2=5"" | HeightDelta=3"" | HeightOffset=120"" | Insulation Thickness=0"" | Length 1=4"" | Length 2=5"" | Lining Thickness=0"" | OffsetHeight=6 1/2"" | OffsetWidth=6 1/2"" | Overall Size=13""x13""-9""x10"" | Pressure Drop=0.00 in-wg | Size=13""x13""-9""x10"" | Volume=0.36 CF | WidthDelta=4"" | WidthOffset=120"""
1287499,Duct Fittings,Rectangular Transition - Angle,45 Degree,L 1,,Mechanical Supply Air 5,Supply Air,,,"9""x13""-9""x10""",,,,"9""x13""-9""x10""",1 SF,0.22 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,12.949,,,9,13,Point,98.132,242.178,22.342,,,,,,,90,97.757,242.178,21.8,98.507,242.48,22.883,98.132,242.329,22.342,,"Area=1 SF | Computed Length=4"" | Duct Height 1=13"" | Duct Height 2=10"" | Duct Length=4"" | Duct Width 1=9"" | Duct Width 2=9"" | Free Size=9""x13""-9""x10"" | Half Height 1=7"" | Half Height 2=5"" | Half Width 1=5"" | Half Width 2=5"" | HeightDelta=3"" | HeightOffset=120"" | Insulation Thickness=0"" | Length 1=4"" | Length 2=2"" | Lining Thickness=0"" | OffsetHeight=6 1/2"" | OffsetWidth=4 1/2"" | Overall Size=9""x13""-9""x10"" | Pressure Drop=0.00 in-wg | Size=9""x13""-9""x10"" | Volume=0.22 CF | WidthDelta=0"" | WidthOffset=120"""
1287940,Duct Fittings,Rectangular Transition - Angle,45 Degree,L 1,,Mechanical Supply Air 4,Supply Air,,,"5""x6""-5""x5""",,,,"5""x5 1/2""-5""x5""",0 SF,0.01 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,0.392,,,5,5.5,Point,105.741,185.132,24.496,,,,,,,0,105.741,184.924,24.267,105.791,185.34,24.726,105.766,185.132,24.496,,"Area=0 SF | Computed Length=1"" | Duct Height 1=6"" | Duct Height 2=5"" | Duct Length=1"" | Duct Width 1=5"" | Duct Width 2=5"" | Free Size=5""x5 1/2""-5""x5"" | Half Height 1=3"" | Half Height 2=3"" | Half Width 1=3"" | Half Width 2=3"" | HeightDelta=1"" | HeightOffset=120"" | Insulation Thickness=0"" | Length 1=1"" | Length 2=2"" | Lining Thickness=0"" | OffsetHeight=2 3/4"" | OffsetWidth=2 1/2"" | Overall Size=5""x5 1/2""-5""x5"" | Pressure Drop=0.00 in-wg | Size=5""x6""-5""x5"" | Volume=0.01 CF | WidthDelta=0"" | WidthOffset=120"""
1288014,Duct Fittings,Rectangular Transition - Angle,45 Degree,L 1,,Mechanical Supply Air 4,Supply Air,,,"5""x5""-5""x5""",,,,"5""x5""-4 1/2""x4 1/2""",0 SF,0.01 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,,,,5,5,Point,114.403,185.132,24.496,,,,,,,0,114.403,184.924,24.288,114.453,185.34,24.705,114.428,185.132,24.496,,"Area=0 SF | Computed Length=1"" | Duct Height 1=5"" | Duct Height 2=5"" | Duct Length=1"" | Duct Width 1=5"" | Duct Width 2=5"" | Free Size=5""x5""-4 1/2""x4 1/2"" | Half Height 1=3"" | Half Height 2=2"" | Half Width 1=3"" | Half Width 2=2"" | HeightDelta=1"" | HeightOffset=120"" | Insulation Thickness=0"" | Length 1=1"" | Length 2=1"" | Lining Thickness=0"" | OffsetHeight=2 1/2"" | OffsetWidth=2 1/2"" | Overall Size=5""x5""-4 1/2""x4 1/2"" | Pressure Drop=0.00 in-wg | Size=5""x5""-5""x5"" | Volume=0.01 CF | WidthDelta=1"" | WidthOffset=120"""
1288015,Duct Fittings,Rectangular Elbow - Mitered,Standard,L 1,,Mechanical Supply Air 4,Supply Air,,,"5""x5""-5""x5""",,"5""","5""","4 1/2""x4 1/2""-4 1/2""x4 1/2""",,0.08 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,,,,4.5,4.5,Point,129.598,185.132,25.746,,,,,,,0,129.327,184.944,25.559,129.786,185.403,25.934,129.556,185.174,25.746,,"Duct Height=5"" | Duct Length 1=3"" | Duct Width=5"" | Free Size=4 1/2""x4 1/2""-4 1/2""x4 1/2"" | Insulation Thickness=0"" | Lining Thickness=0"" | Overall Size=4 1/2""x4 1/2""-4 1/2""x4 1/2"" | Pressure Drop=0.00 in-wg | Size=5""x5""-5""x5"" | Volume=0.08 CF"
1288317,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Supply Air 4,Supply Air,,,"7""x5""",,"7""","5""","0' - 4 3/4""",1 SF,,,,,"0""","0""",0 m³/h,0 m³/h,0.00 in-wg,,,,,,,,2,,,,7,5,Curve,68.013,185.966,25.833,68.21,185.966,25.833,67.815,185.966,25.833,,67.815,185.674,25.625,68.21,186.258,26.042,68.013,185.966,25.833,,"Additional Flow=0 m³/h | Area=1 SF | Flow=0 m³/h | Free Size=7""x5"" | Height=5"" | Hydraulic Diameter=6"" | Insulation Thickness=0"" | Length=0' - 4 3/4"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=10' - 7 1/2"" | Lower End Top of Insulation Elevation=11' - 0 1/2"" | Overall Size=7""x5"" | Pressure Drop=0.00 in-wg | Size=7""x5"" | Size Lock=False | Upper End Bottom of Insulation Elevation=10' - 7 1/2"" | Upper End Top of Insulation Elevation=11' - 0 1/2"" | Velocity Pressure=0.00 in-wg | Width=7"""
1288324,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Supply Air 4,Supply Air,,,"7""x5""",,"7""","5""","0' - 7 1/4""",1 SF,,,,,"0""","0""",0 m³/h,0 m³/h,0.00 in-wg,,,,,,,,2,,,,7,5,Curve,67.523,185.966,25.24,67.523,185.966,25.542,67.523,185.966,24.938,,67.315,185.674,24.938,67.731,186.258,25.542,67.523,185.966,25.24,,"Additional Flow=0 m³/h | Area=1 SF | Flow=0 m³/h | Free Size=7""x5"" | Height=5"" | Hydraulic Diameter=6"" | Insulation Thickness=0"" | Length=0' - 7 1/4"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=9' - 11 1/4"" | Lower End Top of Insulation Elevation=9' - 11 1/4"" | Overall Size=7""x5"" | Pressure Drop=0.00 in-wg | Size=7""x5"" | Size Lock=False | Upper End Bottom of Insulation Elevation=10' - 6 1/2"" | Upper End Top of Insulation Elevation=10' - 6 1/2"" | Velocity Pressure=0.00 in-wg | Width=7"""
1288335,Duct Fittings,Rectangular Elbow - Mitered,Standard,L 1,,Mechanical Supply Air 4,Supply Air,,,"5""x7""-5""x7""",,"5""","7""","5""x7""-5""x7""",,0.14 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,,,,5,7,Point,67.523,185.966,25.833,,,,,,,180,67.315,185.674,25.542,67.815,186.258,26.042,67.565,185.966,25.792,,"Duct Height=7"" | Duct Length 1=4"" | Duct Width=5"" | Free Size=5""x7""-5""x7"" | Insulation Thickness=0"" | Lining Thickness=0"" | Overall Size=5""x7""-5""x7"" | Pressure Drop=0.00 in-wg | Size=5""x7""-5""x7"" | Volume=0.14 CF"
1288338,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Supply Air 4,Supply Air,,,"7""x5""",,"7""","5""","1' - 4 1/16""",3 SF,,,,,"0""","0""",0 m³/h,0 m³/h,0.00 in-wg,,,,,,,,2,,,,7,5,Curve,66.562,185.966,24.646,67.231,185.966,24.646,65.892,185.966,24.646,,65.892,185.674,24.438,67.231,186.258,24.854,66.562,185.966,24.646,,"Additional Flow=0 m³/h | Area=3 SF | Flow=0 m³/h | Free Size=7""x5"" | Height=5"" | Hydraulic Diameter=6"" | Insulation Thickness=0"" | Length=1' - 4 1/16"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=9' - 5 1/4"" | Lower End Top of Insulation Elevation=9' - 10 1/4"" | Overall Size=7""x5"" | Pressure Drop=0.00 in-wg | Size=7""x5"" | Size Lock=False | Upper End Bottom of Insulation Elevation=9' - 5 1/4"" | Upper End Top of Insulation Elevation=9' - 10 1/4"" | Velocity Pressure=0.00 in-wg | Width=7"""
