"metric","target","project","percent_of_target","percent_of_target_display"
"carbon","7396873.8437","2350871.623861563","0.3178196186033139","31.782"
"energy","155969076.592","28828084.625182774","0.18483205296261546","18.4832"
"water","271387397.260274","173398551.35668445","0.6389336907578896","63.8934"
"ozone","0.0","0.07468911436749216",,""
