ID,NAME,CATALOG ID,DESCRIPTION,CATEGORY,SUB CATEGORY,MEASURE UNIT,Vendor,Default Vendor,Pref Vendor,Vendor SKU/Part #,Vendor Description,Vendor Item Cost,Vendor Lead Time
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_14_X14,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 14""x14""",PART-MEP_DUCTS_UNSPECIF-5ED6058A,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 14""x14""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_14_X15,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 14""x15""",PART-MEP_DUCTS_UNSPECIF-15CDBB7A,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 14""x15""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_14_X18,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 14""x18""",PART-MEP_DUCTS_UNSPECIF-0039B172,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 14""x18""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_14_X9,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 14""x9""",PART-MEP_DUCTS_UNSPECIF-6B983320,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 14""x9""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_15_X15,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 15""x15""",PART-MEP_DUCTS_UNSPECIF-E0A1EFA1,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 15""x15""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_15_X16,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 15""x16""",PART-MEP_DUCTS_UNSPECIF-D3F00930,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 15""x16""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_15_X24,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 15""x24""",PART-MEP_DUCTS_UNSPECIF-C427CAD5,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 15""x24""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_15_X30,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 15""x30""",PART-MEP_DUCTS_UNSPECIF-CFFBDD12,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 15""x30""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_16_X16,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 16""x16""",PART-MEP_DUCTS_UNSPECIF-AD5E6978,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 16""x16""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_16_X17,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 16""x17""",PART-MEP_DUCTS_UNSPECIF-EA1E1085,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 16""x17""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_17_X18,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 17""x18""",PART-MEP_DUCTS_UNSPECIF-402EEB32,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 17""x18""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_18_X12,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 18""x12""",PART-MEP_DUCTS_UNSPECIF-2AC524A0,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 18""x12""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_18_X14,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 18""x14""",PART-MEP_DUCTS_UNSPECIF-F6744E70,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 18""x14""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_18_X18,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 18""x18""",PART-MEP_DUCTS_UNSPECIF-176F0B3C,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 18""x18""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_19_X19,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 19""x19""",PART-MEP_DUCTS_UNSPECIF-BA0E7B76,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 19""x19""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_19_X20,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 19""x20""",PART-MEP_DUCTS_UNSPECIF-0B9234ED,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 19""x20""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_22_X16,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 22""x16""",PART-MEP_DUCTS_UNSPECIF-DFEF9C63,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 22""x16""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_22_X22,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 22""x22""",PART-MEP_DUCTS_UNSPECIF-92050242,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 22""x22""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_22_X24,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 22""x24""",PART-MEP_DUCTS_UNSPECIF-94AA9294,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 22""x24""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_24_X12,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 24""x12""",PART-MEP_DUCTS_UNSPECIF-3F734E5F,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 24""x12""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_24_X15,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 24""x15""",PART-MEP_DUCTS_UNSPECIF-FD10BE0F,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 24""x15""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_28_X12,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 28""x12""",PART-MEP_DUCTS_UNSPECIF-03B4E40A,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 28""x12""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_28_X22,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 28""x22""",PART-MEP_DUCTS_UNSPECIF-C206E59F,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 28""x22""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_30_X15,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 30""x15""",PART-MEP_DUCTS_UNSPECIF-AA2664C4,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 30""x15""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_30_X24,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 30""x24""",PART-MEP_DUCTS_UNSPECIF-E77CF069,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 30""x24""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_30_X6,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 30""x6""",PART-MEP_DUCTS_UNSPECIF-F43CDDEB,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 30""x6""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_32_X24,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 32""x24""",PART-MEP_DUCTS_UNSPECIF-290CE02F,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 32""x24""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_35_X16,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 35""x16""",PART-MEP_DUCTS_UNSPECIF-E9CD2767,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 35""x16""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_3_X3,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 3""x3""",PART-MEP_DUCTS_UNSPECIF-602F4FAE,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 3""x3""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_40_X5,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 40""x5""",PART-MEP_DUCTS_UNSPECIF-4DD7BDF5,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 40""x5""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_40_X6,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 40""x6""",PART-MEP_DUCTS_UNSPECIF-F15B5A08,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 40""x6""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_4_X4,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 4""x4""",PART-MEP_DUCTS_UNSPECIF-488CD498,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 4""x4""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_4_X5,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 4""x5""",PART-MEP_DUCTS_UNSPECIF-40773E1B,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 4""x5""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_5_X5,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 5""x5""",PART-MEP_DUCTS_UNSPECIF-A664D99C,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 5""x5""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_5_X6,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 5""x6""",PART-MEP_DUCTS_UNSPECIF-7F98DCF1,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 5""x6""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_6_X6,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 6""x6""",PART-MEP_DUCTS_UNSPECIF-92A1C2F4,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 6""x6""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_6_X7,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 6""x7""",PART-MEP_DUCTS_UNSPECIF-90F7B2A2,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 6""x7""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_6_X9,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 6""x9""",PART-MEP_DUCTS_UNSPECIF-2C66E5A7,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 6""x9""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_7_X5,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 7""x5""",PART-MEP_DUCTS_UNSPECIF-CF6BA0CE,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 7""x5""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_7_X7,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 7""x7""",PART-MEP_DUCTS_UNSPECIF-E64526EC,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 7""x7""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_7_X8,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 7""x8""",PART-MEP_DUCTS_UNSPECIF-3D6D2BA5,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 7""x8""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_8_X7,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 8""x7""",PART-MEP_DUCTS_UNSPECIF-6978C620,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 8""x7""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_8_X8,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 8""x8""",PART-MEP_DUCTS_UNSPECIF-409EFE02,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 8""x8""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_8_X9,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 8""x9""",PART-MEP_DUCTS_UNSPECIF-69ABCA4E,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 8""x9""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_9_X10,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 9""x10""",PART-MEP_DUCTS_UNSPECIF-0D596FDC,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 9""x10""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_9_X8,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 9""x8""",PART-MEP_DUCTS_UNSPECIF-7045AFAC,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 9""x8""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCTS_UNSPECIFIED_FAMILY_MITERED_ELBOWS_TEES_9_X9,"MEP Ducts | Unspecified Family | Mitered Elbows / Tees | 9""x9""",PART-MEP_DUCTS_UNSPECIF-EC8B937F,"MEP rough-in part for Ducts | Unspecified Family | Mitered Elbows / Tees | 9""x9""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_CROSS_STANDARD_12_X9_8_X9_6_X9_6_X9,"MEP Duct Fittings | Rectangular Cross | Standard | 12""x9""-8""x9""-6""x9""-6""x9""",PART-MEP_DUCT_FITTINGS-CE139C2C,"MEP rough-in part for Duct Fittings | Rectangular Cross | Standard | 12""x9""-8""x9""-6""x9""-6""x9""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_CROSS_STANDARD_14_X15_12_X15_6_X15_6_X15,"MEP Duct Fittings | Rectangular Cross | Standard | 14""x15""-12""x15""-6""x15""-6""x15""",PART-MEP_DUCT_FITTINGS-BA0A30D5,"MEP rough-in part for Duct Fittings | Rectangular Cross | Standard | 14""x15""-12""x15""-6""x15""-6""x15""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_CROSS_STANDARD_18_X12_10_X12_7_X12_7_X12,"MEP Duct Fittings | Rectangular Cross | Standard | 18""x12""-10""x12""-7""x12""-7""x12""",PART-MEP_DUCT_FITTINGS-A2F3B028,"MEP rough-in part for Duct Fittings | Rectangular Cross | Standard | 18""x12""-10""x12""-7""x12""-7""x12""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_CROSS_STANDARD_19_X19_19_X19_17_X19_17_X19,"MEP Duct Fittings | Rectangular Cross | Standard | 19""x19""-19""x19""-17""x19""-17""x19""",PART-MEP_DUCT_FITTINGS-BB85DCAA,"MEP rough-in part for Duct Fittings | Rectangular Cross | Standard | 19""x19""-19""x19""-17""x19""-17""x19""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_CROSS_STANDARD_24_X12_18_X12_7_X12_7_X12,"MEP Duct Fittings | Rectangular Cross | Standard | 24""x12""-18""x12""-7""x12""-7""x12""",PART-MEP_DUCT_FITTINGS-C660403C,"MEP rough-in part for Duct Fittings | Rectangular Cross | Standard | 24""x12""-18""x12""-7""x12""-7""x12""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_CROSS_STANDARD_28_X12_28_X12_7_X12_7_X12,"MEP Duct Fittings | Rectangular Cross | Standard | 28""x12""-28""x12""-7""x12""-7""x12""",PART-MEP_DUCT_FITTINGS-03D78255,"MEP rough-in part for Duct Fittings | Rectangular Cross | Standard | 28""x12""-28""x12""-7""x12""-7""x12""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_10_X10_10_X10,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 10""x10""-10""x10""",PART-MEP_DUCT_FITTINGS-6DE4ADED,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 10""x10""-10""x10""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_12_X13_12_X13,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 12""x13""-12""x13""",PART-MEP_DUCT_FITTINGS-BD147F30,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 12""x13""-12""x13""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_13_X13_13_X13,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 13""x13""-13""x13""",PART-MEP_DUCT_FITTINGS-99264962,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 13""x13""-13""x13""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_13_X14_13_X14,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 13""x14""-13""x14""",PART-MEP_DUCT_FITTINGS-33A34EA6,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 13""x14""-13""x14""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_14_X13_14_X13,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 14""x13""-14""x13""",PART-MEP_DUCT_FITTINGS-A62B2C15,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 14""x13""-14""x13""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_14_X14_14_X14,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 14""x14""-14""x14""",PART-MEP_DUCT_FITTINGS-2933232A,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 14""x14""-14""x14""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_14_X18_14_X18,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 14""x18""-14""x18""",PART-MEP_DUCT_FITTINGS-E1C2761C,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 14""x18""-14""x18""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_15_X24_15_X24,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 15""x24""-15""x24""",PART-MEP_DUCT_FITTINGS-7899B87E,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 15""x24""-15""x24""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_15_X30_15_X30,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 15""x30""-15""x30""",PART-MEP_DUCT_FITTINGS-16AED8A0,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 15""x30""-15""x30""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_16_X16_16_X16,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 16""x16""-16""x16""",PART-MEP_DUCT_FITTINGS-7DF291C5,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 16""x16""-16""x16""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_16_X17_16_X17,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 16""x17""-16""x17""",PART-MEP_DUCT_FITTINGS-5435AA68,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 16""x17""-16""x17""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_16_X22_16_X22,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 16""x22""-16""x22""",PART-MEP_DUCT_FITTINGS-63DCC3B6,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 16""x22""-16""x22""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_17_X16_17_X16,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 17""x16""-17""x16""",PART-MEP_DUCT_FITTINGS-1BCBE8AC,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 17""x16""-17""x16""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_19_X19_19_X19,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 19""x19""-19""x19""",PART-MEP_DUCT_FITTINGS-2D8B4217,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 19""x19""-19""x19""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_20_X19_20_X19,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 20""x19""-20""x19""",PART-MEP_DUCT_FITTINGS-F227C457,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 20""x19""-20""x19""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_22_X16_22_X16,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 22""x16""-22""x16""",PART-MEP_DUCT_FITTINGS-37E18D6D,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 22""x16""-22""x16""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_24_X15_24_X15,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 24""x15""-24""x15""",PART-MEP_DUCT_FITTINGS-741B24B0,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 24""x15""-24""x15""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_24_X30_24_X30,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 24""x30""-24""x30""",PART-MEP_DUCT_FITTINGS-A940CC6E,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 24""x30""-24""x30""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_24_X32_24_X32,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 24""x32""-24""x32""",PART-MEP_DUCT_FITTINGS-770AD633,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 24""x32""-24""x32""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_28_X12_28_X12,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 28""x12""-28""x12""",PART-MEP_DUCT_FITTINGS-51097FC3,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 28""x12""-28""x12""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_DUCT_FITTINGS_RECTANGULAR_ELBOW_MITERED_STANDARD_30_X15_30_X15,"MEP Duct Fittings | Rectangular Elbow - Mitered | Standard | 30""x15""-30""x15""",PART-MEP_DUCT_FITTINGS-2452431D,"MEP rough-in part for Duct Fittings | Rectangular Elbow - Mitered | Standard | 30""x15""-30""x15""",Parts,MEP Rough-In,EACH,,,,,,,
